#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-04_epo-020	0.24	4.60	0.00	0.55	0.999	1.000	0.995	0.822	0.839
batch-04_epo-040	0.24	4.17	0.00	0.60	1.000	1.000	0.995	0.836	0.852
batch-04_epo-060	0.25	4.23	0.00	0.57	1.000	1.000	0.995	0.834	0.850
batch-04_epo-080	0.24	4.19	0.00	0.57	0.999	1.000	0.995	0.839	0.855
batch-04_epo-100	0.24	4.21	0.00	0.60	0.998	1.000	0.995	0.836	0.851
batch-08_epo-020	0.31	3.94	0.00	1.17	0.999	1.000	0.995	0.823	0.840
batch-08_epo-040	0.30	3.63	0.00	1.30	0.999	1.000	0.995	0.832	0.848
batch-08_epo-060	0.31	3.59	0.03	1.23	1.000	1.000	0.995	0.836	0.852
batch-08_epo-080	0.31	3.56	0.05	1.27	0.999	1.000	0.995	0.837	0.852
batch-08_epo-100	0.31	3.59	0.00	1.23	0.999	1.000	0.995	0.834	0.850
batch-16_epo-020	0.69	3.40	0.00	1.33	0.999	1.000	0.995	0.820	0.838
batch-16_epo-040	0.69	3.72	0.00	1.34	0.999	1.000	0.995	0.832	0.849
batch-16_epo-060	0.68	3.42	0.00	1.25	0.999	1.000	0.995	0.832	0.849
batch-16_epo-080	0.68	3.39	0.00	1.51	0.999	1.000	0.995	0.833	0.849
batch-16_epo-100	0.69	3.40	0.01	1.25	0.999	1.000	0.995	0.832	0.848
batch-32_epo-020	1.33	4.10	0.00	0.43	0.999	1.000	0.995	0.818	0.835
batch-32_epo-040	1.34	3.94	0.00	0.50	1.000	1.000	0.995	0.829	0.846
batch-32_epo-060	1.29	4.07	0.00	0.38	0.999	1.000	0.995	0.838	0.854
batch-32_epo-080	1.33	4.05	0.00	0.41	0.999	1.000	0.995	0.836	0.852
batch-32_epo-100	1.30	4.08	0.00	0.37	0.999	1.000	0.995	0.830	0.847
