#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.26	4.03	0.00	0.98	0.997	1.000	0.995	0.819	0.837
batch-02_epo-040	0.26	3.93	0.00	1.00	0.999	1.000	0.995	0.832	0.848
batch-02_epo-060	0.31	4.30	0.00	0.89	0.998	1.000	0.995	0.835	0.851
batch-02_epo-080	0.28	4.12	0.00	0.81	0.999	1.000	0.995	0.837	0.853
batch-02_epo-100	0.26	4.11	0.00	0.80	0.999	1.000	0.995	0.834	0.850
batch-04_epo-020	0.26	3.73	0.00	0.97	0.999	1.000	0.995	0.822	0.839
batch-04_epo-040	0.38	4.23	0.00	1.56	0.999	1.000	0.995	0.829	0.846
batch-04_epo-060	0.42	4.04	0.00	1.08	1.000	1.000	0.995	0.834	0.850
batch-04_epo-080	0.25	3.75	0.00	0.88	0.999	1.000	0.995	0.832	0.848
batch-04_epo-100	0.30	3.90	0.00	0.84	0.999	1.000	0.995	0.829	0.845
batch-08_epo-020	0.26	3.65	0.01	1.46	0.999	1.000	0.995	0.826	0.843
batch-08_epo-040	0.33	3.88	0.01	2.68	0.999	1.000	0.995	0.831	0.848
batch-08_epo-060	0.52	4.05	0.00	2.21	0.999	1.000	0.995	0.837	0.852
batch-08_epo-080	0.27	3.71	0.00	1.55	0.999	1.000	0.995	0.833	0.849
batch-08_epo-100	0.25	3.67	0.00	1.77	0.999	1.000	0.995	0.831	0.847
batch-16_epo-020	0.70	3.54	0.00	1.40	0.997	1.000	0.995	0.827	0.844
batch-16_epo-040	0.72	3.87	0.00	2.24	0.999	1.000	0.995	0.833	0.849
batch-16_epo-060	0.73	3.42	0.00	1.11	0.999	1.000	0.995	0.832	0.848
batch-16_epo-080	0.73	3.43	0.01	1.62	1.000	1.000	0.995	0.830	0.847
batch-16_epo-100	0.88	3.69	0.00	1.74	0.999	1.000	0.995	0.829	0.846
batch-32_epo-020	1.38	3.99	0.00	0.58	0.999	1.000	0.995	0.813	0.831
batch-32_epo-040	1.30	3.94	0.00	0.53	0.999	1.000	0.995	0.831	0.848
batch-32_epo-060	1.68	4.47	0.00	0.92	0.999	1.000	0.995	0.834	0.850
batch-32_epo-080	1.38	3.96	0.00	0.40	0.999	1.000	0.995	0.828	0.845
batch-32_epo-100	1.32	3.98	0.00	0.36	1.000	1.000	0.995	0.832	0.848
