#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.26	3.22	0.00	1.76	0.995	0.998	0.995	0.804	0.823
batch-02_epo-040	0.27	3.26	0.00	0.71	0.997	0.998	0.993	0.801	0.820
batch-02_epo-060	0.28	3.35	0.00	0.65	0.995	0.998	0.994	0.805	0.824
batch-02_epo-080	0.29	3.36	0.00	0.58	0.998	0.998	0.995	0.814	0.832
batch-02_epo-100	0.27	3.28	0.00	0.55	0.995	0.998	0.995	0.815	0.833
batch-04_epo-020	0.37	3.40	0.00	2.04	0.990	1.000	0.995	0.807	0.826
batch-04_epo-040	0.52	2.86	0.00	1.57	0.993	1.000	0.993	0.798	0.817
batch-04_epo-060	0.74	3.87	0.00	1.85	0.994	1.000	0.994	0.809	0.828
batch-04_epo-080	0.47	3.33	0.00	2.35	0.995	1.000	0.995	0.813	0.831
batch-04_epo-100	0.30	3.02	0.00	0.87	0.997	0.998	0.995	0.814	0.832
batch-08_epo-020	0.24	1.57	0.00	2.39	0.996	0.997	0.995	0.802	0.821
batch-08_epo-040	0.32	1.56	0.00	2.36	0.994	1.000	0.994	0.808	0.827
batch-08_epo-060	0.24	1.55	0.00	2.14	0.996	0.998	0.995	0.807	0.826
batch-08_epo-080	0.31	1.57	0.00	2.11	0.995	0.998	0.994	0.812	0.831
batch-08_epo-100	0.24	1.58	0.00	2.12	0.997	1.000	0.995	0.814	0.833
batch-16_epo-020	0.75	1.67	0.00	2.07	0.999	0.999	0.995	0.799	0.818
batch-16_epo-040	0.71	1.55	0.00	1.84	0.995	1.000	0.995	0.807	0.826
batch-16_epo-060	1.04	1.99	0.00	1.52	0.992	1.000	0.994	0.807	0.826
batch-16_epo-080	0.77	1.58	0.00	1.36	0.995	0.998	0.994	0.810	0.828
batch-16_epo-100	0.74	1.52	0.00	1.33	0.995	1.000	0.995	0.813	0.831
batch-32_epo-020	1.38	2.43	0.00	0.72	0.998	0.998	0.995	0.794	0.814
batch-32_epo-040	1.35	2.62	0.00	0.63	0.996	0.999	0.995	0.810	0.828
batch-32_epo-060	1.41	2.71	0.00	0.71	0.995	0.998	0.995	0.807	0.826
batch-32_epo-080	1.34	2.71	0.00	0.56	0.997	0.999	0.995	0.810	0.829
batch-32_epo-100	1.39	2.61	0.00	0.42	0.997	0.999	0.995	0.814	0.832
